Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023
T23_000000_t01Ved14.xlsx;Валюта баланса;ValBal;3;4
T23_000000_t01Ved14.xlsx;Внеоборотные активы;VneObAk;5;6
T23_000000_t01Ved14.xlsx;Оборотные активы;ObAk;7;8
T23_000000_t01Ved14.xlsx;Капитал и резервы;KapRez;9;10
T23_000000_t01Ved14.xlsx;Долгосрочные обязательства;DlOb;11;12
T23_000000_t01Ved14.xlsx;Краткосрочные обязательства;KrOb;13;14
T23_000000_t03Ved14.xlsx;Внеоборотные активы;VneObAk;3;4
T23_000000_t03Ved14.xlsx;нематериальные активы;NemAk;5;6
T23_000000_t03Ved14.xlsx;основные средства;OsnSr;13;14
T23_000000_t03Ved14.xlsx;долгосрочные финансовые вложения;DolgFinVl;17;18
T23_000000_t03Ved14.xlsx;отложенные налоговые активы;OtlNalogAK;19;20
T23_000000_t03Ved14.xlsx;прочие внеоборотные активы;PrVneObAk;21;22
T23_000000_t10Ved14.xlsx;Оборотные активы;ObAkObr;3;4
T23_000000_t10Ved14.xlsx;запасы;Zapasy;5;6
T23_000000_t10Ved14.xlsx;налог на добавленную стоимость по приобретенным ценностям;NDS;7;8
T23_000000_t10Ved14.xlsx;дебиторская задолженность;DebZad;9;10
T23_000000_t10Ved14.xlsx;краткосрочные финансовые вложения (за исключением денежных эквивалентов);FinVlKr;11;12
T23_000000_t10Ved14.xlsx;денежные средства и денежные эквиваленты;DenSr;13;14
T23_000000_t10Ved14.xlsx;прочие оборотные активы;PrObAkObr;15;16
T23_000000_t13Ved14.xlsx;Оборотные активы;OborObAk;3;
T23_000000_t13Ved14.xlsx;Запасы;OborZap;4;
T23_000000_t13Ved14.xlsx;Краткосрочная кредиторская задолженность;OborKrZad;5;
T23_000000_t13Ved14.xlsx;Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения);OborFinAk;6;
T23_000000_t13Ved14.xlsx;Дебиторская задолженность;OborDebZad;7;
T23_000000_t19Ved14.xlsx;Уставный капитал;UstKap;3;4
T23_000000_t19Ved14.xlsx;Собственные акции выкупленные;SobAkc;5;6
T23_000000_t19Ved14.xlsx;Нераспределенная прибыль;SobAkc;15;16
T23_000000_t19Ved14.xlsx;Добавочный капитал;DobKap;7;8
T23_000000_t19Ved14.xlsx;Переоценка внеоборотных активов;PerOcVneAk;9;10
T23_000000_t19Ved14.xlsx;Добавочный капитал без переоценки;DobKapBezPer;11;12
T23_000000_t19Ved14.xlsx;Резервный капитал;RezKap;13;14
T23_000000_t20Ved14.xlsx;Займы и кредиты;ZaimKrDl;3;4
T23_000000_t20Ved14.xlsx;Отложенные налоговые обязательства;OtlNalOb;5;6
T23_000000_t20Ved14.xlsx;Оценочные обязательства долгосрочные;OcObDl;7;8
T23_000000_t20Ved14.xlsx;Прочие долгосрочные обязательства;PrDlOb;9;10
T23_000000_t21Ved14.xlsx;Займы и кредиты краткосрочные;ZaimKrKr;3;4
T23_000000_t21Ved14.xlsx;Кредиторская задолженность;KredZad;5;6
T23_000000_t21Ved14.xlsx;Доходы будущих периодов;DohBudPer;7;8
T23_000000_t21Ved14.xlsx;Оценочные обязательства;OcObKr;9;10
T23_000000_t21Ved14.xlsx;Прочие краткосрочные обязательства;PrKrOb;11;12
