Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023;Ключевое слово 2022;Ключевое слово 2023
T24_000000_t01Ved14.xlsx;Валюта баланса;ValBal;3;4;"""начало"",""предыдущий"",""конец"",""отчетный"",""Валюта баланса""";"""конец"",""отчетный"",""Валюта баланса"""
T24_000000_t01Ved14.xlsx;Внеоборотные активы;VneAkt;5;6;"""начало"",""предыдущий"",""конец"",""отчетный"",""Внеоборотные активы""";"""конец"",""отчетный"",""Внеоборотные активы"""
T24_000000_t01Ved14.xlsx;Оборотные активы;OboAkt;7;8;"""начало"",""предыдущий"",""конец"",""отчетный"",""Оборотные активы""";"""конец"",""отчетный"",""Оборотные активы"""
T24_000000_t01Ved14.xlsx;Капитал и резервы;KapIRez;9;10;"""начало"",""предыдущий"",""конец"",""отчетный"",""Капитал и резервы""";"""конец"",""отчетный"",""Капитал и резервы"""
T24_000000_t01Ved14.xlsx;Долгосрочные обязательства;DolOby;11;12;"""начало"",""предыдущий"",""конец"",""отчетный"",""Долгосрочные обязательства""";"""конец"",""отчетный"",""Долгосрочные обязательства"""
T24_000000_t01Ved14.xlsx;Краткосрочные обязательства;KraOby;13;14;"""начало"",""предыдущий"",""конец"",""отчетный"",""Краткосрочные обязательства""";"""конец"",""отчетный"",""Краткосрочные обязательства"""
T24_000000_t01Ved14.xlsx;Валюта баланса убыточных органи-заций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg;15;;Валюта баланса убыточных органи-заций, на конец года итог актива убыточных организаций;Валюта баланса убыточных органи-заций, на конец года итог актива убыточных организаций
T24_000000_t01Ved14.xlsx;Валюта баланса убыточных органи-заций, на конец года в % к валюте баланса;ValBalUbyOrgNaKonGoV%KValBal;16;41;Валюта баланса убыточных органи-заций, на конец года в % к валюте баланса;Валюта баланса убыточных органи-заций, на конец года в % к валюте баланса
T24_000000_t01Ved14mo8.xlsx;Валюта баланса;ValBal_1;3;4;"""начало"",""предыдущий"",""конец"",""отчетный"",""Валюта баланса""";"""конец"",""отчетный"",""Валюта баланса"""
T24_000000_t01Ved14mo8.xlsx;Внеоборотные активы;VneAkt_1;5;6;"""начало"",""предыдущий"",""конец"",""отчетный"",""Внеоборотные активы""";"""конец"",""отчетный"",""Внеоборотные активы"""
T24_000000_t01Ved14mo8.xlsx;Оборотные активы;OboAkt_1;7;8;"""начало"",""предыдущий"",""конец"",""отчетный"",""Оборотные активы""";"""конец"",""отчетный"",""Оборотные активы"""
T24_000000_t01Ved14mo8.xlsx;Капитал и резервы;KapIRez_1;9;10;"""начало"",""предыдущий"",""конец"",""отчетный"",""Капитал и резервы""";"""конец"",""отчетный"",""Капитал и резервы"""
T24_000000_t01Ved14mo8.xlsx;Долгосрочные обязательства;DolOby_1;11;12;"""начало"",""предыдущий"",""конец"",""отчетный"",""Долгосрочные обязательства""";"""конец"",""отчетный"",""Долгосрочные обязательства"""
T24_000000_t01Ved14mo8.xlsx;Краткосрочные обязательства;KraOby_1;13;14;"""начало"",""предыдущий"",""конец"",""отчетный"",""Краткосрочные обязательства""";"""конец"",""отчетный"",""Краткосрочные обязательства"""
T24_000000_t01Ved14mo8.xlsx;Валюта баланса убыточных органи-заций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg_1;15;;Валюта баланса убыточных органи-заций, на конец года итог актива убыточных организаций;Валюта баланса убыточных органи-заций, на конец года итог актива убыточных организаций
T24_000000_t01Ved14mo8.xlsx;Валюта баланса убыточных органи-заций, на конец года в % к валюте баланса;ValBalUbyOrgNaKonGoV%KValBal_1;16;;Валюта баланса убыточных органи-заций, на конец года в % к валюте баланса;Валюта баланса убыточных органи-заций, на конец года в % к валюте баланса
T24_000000_t10Ved14.xlsx;Оборотные активы;OboAkt_2;3;4;Оборотные активы;Оборотные активы
