Код;Наименование
101.АГ;"Всего по обследуемым видам экономической деятельности"
A;"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО"
01;"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях"
03;"Рыболовство и рыбоводство"
B;"ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ"
07;"Добыча металлических руд"
C;"ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА"
10;"Производство пищевых продуктов"
11;"Производство напитков"
32;"Производство прочих готовых изделий"
33;"Ремонт и монтаж машин и оборудования"
D;"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА"
35;"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"
E;"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ"
36;"Забор, очистка и распределение воды"
38;"Сбор, обработка и утилизация отходов; обработка вторичного сырья"
F;"СТРОИТЕЛЬСТВО"
41;"Строительство зданий"
42;"Строительство инженерных сооружений"
43;"Работы строительные специализированные"
G;"ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ"
46;"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами"
47;"Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами"
H;"ТРАНСПОРТИРОВКА И ХРАНЕНИЕ"
49;"Деятельность сухопутного и трубопроводного транспорта"
50;"Деятельность водного транспорта"
51;"Деятельность воздушного и космического транспорта"
52;"Складское хозяйство и вспомогательная транспортная деятельность"
I;"ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ"
55;"Деятельность по предоставлению мест для временного проживания"
J;"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ"
63;"Деятельность в области информационных технологий"
K;"ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ"
64;"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению"
L;"ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ"
68;"Операции с недвижимым имуществом"
M;"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ"
69;"Деятельность в области права и бухгалтерского учета"
70;"Деятельность головных офисов; консультирование по вопросам управления"
71;"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа"
74;"Деятельность профессиональная научная и техническая прочая"
N;"ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ"
77;"Аренда и лизинг"
79;"Деятельность туристических агентств и прочих организаций, предоставляющих услуги в сфере туризма"
81;"Деятельность по обслуживанию зданий и территорий"
82;"Деятельность административно-хозяйственная, вспомогательная деятельность по обеспечению функционирования организации, деятельность по предоставлению прочих вспомогательных услуг для бизнеса"
O;"ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ"
84;"Деятельность органов государственного управления по обеспечению военной безопасности, обязательному социальному обеспечению"
P;"ОБРАЗОВАНИЕ"
85;"Образование"
Q;"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ"
86;"Деятельность в области здравоохранения"
88;"Предоставление социальных услуг без обеспечения проживания"
R;"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ"
93;"Деятельность в области спорта, отдыха и развлечений"
S;"ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ"
94;"Деятельность общественных и прочих некоммерческих организаций"
96;"Деятельность по предоставлению прочих персональных услуг"
