table_num,table_name,excel_source,row,col,is_header_row,cell_type,value
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,0,True,HEADER,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,1,True,HEADER,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,2,True,HEADER,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,3,True,HEADER,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,4,True,HEADER,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,5,True,HEADER,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,6,True,HEADER,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,7,True,HEADER,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,8,True,HEADER,"на конец года, тысяч рублей"
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,9,True,HEADER,"на конец года, тысяч рублей"
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,10,True,HEADER,"на конец года, тысяч рублей"
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,0,11,True,HEADER,"на конец года, тысяч рублей"
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,0,True,HEADER,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,1,True,HEADER,Валюта баланса
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,2,True,HEADER,Валюта баланса
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,3,True,HEADER,Валюта баланса
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,4,True,HEADER,Валюта баланса
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,5,True,HEADER,Внеоборотные активы
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,6,True,HEADER,Внеоборотные активы
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,7,True,HEADER,Внеоборотные активы
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,8,True,HEADER,Внеоборотные активы
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,9,True,HEADER,Оборотные активы
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,10,True,HEADER,Оборотные активы
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,1,11,True,HEADER,Оборотные активы
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,0,False,OKVED_CODE,
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,1,False,OKVED_NAME,2022
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,2,False,DATA,2023
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,3,False,DATA,2023
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,4,False,DATA,2023
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,5,False,DATA,2022
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,6,False,DATA,2022
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,7,False,DATA,2023
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,8,False,DATA,2023
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,9,False,DATA,2022
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,10,False,DATA,2022
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,2,11,False,DATA,2023
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,0,False,OKVED_CODE,Всего по обследуемым видам экономической деятельности
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,1,False,OKVED_NAME,569800589
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,2,False,DATA,694836235
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,3,False,DATA,694836235
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,4,False,DATA,694836235
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,5,False,DATA,319353980
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,6,False,DATA,319353980
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,7,False,DATA,376215625
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,8,False,DATA,376215625
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,9,False,DATA,250446609
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,10,False,DATA,250446609
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,11,False,DATA,318620610
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,0,False,OKVED_CODE,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство"
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,1,False,OKVED_NAME,249080092
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,2,False,DATA,334546911
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,3,False,DATA,334546911
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,4,False,DATA,334546911
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,5,False,DATA,143143680
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,6,False,DATA,143143680
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,7,False,DATA,170199721
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,8,False,DATA,170199721
